Work no.,Title,Author,Genre,PDF,Unicode
708,திருநெல்வேலி காந்திமதியம்மை கலித்துறை அந்தாதி,வ. அழகியசொக்கநாத பிள்ளை,பிரபந்தம் - அந்தாதி,pm0708.pdf,pmuni0708.html
709,வெள்ளோடு பெரியண்ணன் குறவஞ்சி,குமாரசாமிப் புலவர்,பிரபந்தம் - குறவஞ்சி,pm0709.pdf,pmuni0709.html
710,Manimekalai மணிமேகலை- மொழிபெயர்ப்பு - English Translation,cIttalai cAttanAr- Kausalya Hart,காப்பியம் - மொழிபெயர்ப்பு,pm0710.pdf,pmuni0710.html
711,nAlaTiyAr நாலடியார்  மொழிபெயர்ப்பு - English Translation,G.U.Pope and F.W. Ellis,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,pm0711.pdf,pmuni0711.html
712,இலக்கிய அணிகள்,சி. பாலசுப்பிரமணியன் (சிற்பி),ஆராய்ச்சிக் கட்டுரைகள்,pm0712.pdf,pmuni0712.html
713,அலை தந்த ஆறுதல்,சி. பாலசுப்பிரமணியன் (சிற்பி),சிறுகதைகள் - நாடகங்கள்,pm0713.pdf,pmuni0713.html
714,வீரவநல்லூர் மரகதவல்லியம்மை பிள்ளைத்தமிழ்,வீரை. சு. பழனிக்குமாரு பண்டாரம்,பிரபந்தம் - பிள்ளைத்தமிழ்,pm0714.pdf,pmuni0714.html
715,கடல் கடந்த நட்பு /ஜூடி & லட்சுமி  தமிழாக்கம்,நயோமி மிச்சிஸன் -ம. பெரியசாமித்தூரன்,நாவல் - மொழிபெயர்ப்பு,pm0715.pdf,pmuni0715.html
716,எட்டு நாட்கள் (கட்டுரைகள்),அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),கட்டுரைகள்,pm0716.pdf,pmuni0716.html
717,கோமளத்தின் கோபம் (சிறுகதைகள்),அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),சிறுகதைகள்,pm0717.pdf,pmuni0717.html
718,பார்வதி பி.ஏ. (புதினம்),அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),புதினம் - நாவல்,pm0718.pdf,pmuni0718.html
719,இருளும் ஒளியும் (நாவல்),ஸரோஜா ராமமூர்த்தி,புதினம் - நாவல்,pm0719.pdf,pmuni0719.html
720,முத்துச் சிப்பி (நாவல்),ஸரோஜா ராமமூர்த்தி,புதினம் - நாவல்,pm0720.pdf,pmuni0720.html
721,அறிவுக் கதைகள் நூறு,கி. ஆ. பெ. விசுவநாதம்,சிறுவர்களுக்கான கதைகள்,pm0721.pdf,pmuni0721.html
722,திருக்குறள் கட்டுரைகள்,கி. ஆ. பெ. விசுவநாதம்,சிறுவர்களுக்கான கட்டுரைகள்,pm0722.pdf,pmuni0722.html
723,ஐந்து செல்வங்கள் (கட்டுரைகள்),கி. ஆ. பெ. விசுவநாதம்,சிறுவர்களுக்கான கட்டுரைகள்,pm0723.pdf,pmuni0723.html
724,இந்திய இலக்கியச் சிற்பிகள் : ஒளவை சு. துரைசாமிபிள்ளை,ச. சாம்பசிவனார்,வரலாறு / சரித்திரம்,pm0724.pdf,pmuni0724.html
